participant,technique,movement,clustering,techBlock,condInBlock,throughput_shannon_nominal_bps,throughput_shannon_effective_bps,throughput_hoffmann_bps,avgTime_ms,precisionRate_percent,avgErrorClicks,avgNormalizedDistance,avgDistanceFromCenter_px,medianTime_ms,stdDevTime_ms,effectiveWidth_We_px,endpointSigma_px,effectiveAvgID_bits,shannonAvgID_bits,fitts_regression_r2,fitts_regression_slope,fitts_regression_intercept,fitts_regression_aic,fitts_regression_tp,fitts_regression_n,hoffmann_regression_r2,hoffmann_regression_slope,hoffmann_regression_intercept,hoffmann_regression_aic,hoffmann_regression_tp,hoffmann_regression_n,delta_r2,delta_aic
1,POINT,STATIC,LOW,1,1,4.45,4.87,4.45,737.35,100.0,0.05,0.49,9.2,719.5,156.11,29.59,7.16,3.393,3.141,0.1495,47.2092,563.5,178.25,21.18,19,0.1495,47.2092,563.5,178.25,21.18,19,0.0,0.0
1,POINT,STATIC,MEDIUM,1,2,4.24,4.48,4.24,691.45,100.0,0.0,0.496,9.73,695.5,118.25,33.67,8.15,3.037,2.914,0.0181,17.4885,647.63,183.59,57.18,19,0.0181,17.4885,647.63,183.59,57.18,19,0.0,0.0
1,POINT,SLOW,HIGH,1,3,3.38,3.32,6.16,1114.95,100.0,0.35,0.545,9.14,958.5,347.11,34.79,8.42,3.422,3.505,0.1456,178.3827,467.98,221.75,5.61,19,0.1701,99.1585,456.9,221.2,10.08,19,0.0245,-0.55
1,POINT,FAST,MEDIUM,1,4,2.63,2.56,5.21,1472.75,100.0,1.15,0.593,10.58,1063.5,934.43,39.95,9.67,2.988,3.161,0.3124,604.72,-442.97,256.79,1.65,19,0.2493,367.6936,-783.41,258.46,2.72,19,-0.0631,1.67
1,POINT,STATIC,HIGH,1,5,4.22,4.7,4.22,693.35,100.0,0.0,0.514,9.8,685.0,105.9,28.52,6.9,3.192,2.912,0.3851,89.5236,428.53,171.36,11.17,19,0.3851,89.5236,428.53,171.36,11.17,19,0.0,0.0
1,POINT,SLOW,MEDIUM,1,6,3.15,3.02,6.31,938.0,100.0,0.25,0.521,8.8,844.0,289.3,37.29,9.02,2.728,2.868,0.1602,128.9084,576.64,215.73,7.76,19,0.0726,56.9595,624.31,217.61,17.56,19,-0.0876,1.88
1,POINT,FAST,HIGH,1,7,2.66,2.45,4.79,1481.5,100.0,1.3,0.531,9.59,1253.5,1036.3,40.44,9.78,2.939,3.167,0.0573,338.8724,402.97,266.72,2.95,19,0.063,208.5598,288.2,266.6,4.79,19,0.0057,-0.12
1,POINT,FAST,LOW,1,8,3.18,3.25,5.65,1205.65,100.0,0.8,0.598,11.24,914.5,620.77,36.42,8.81,3.358,3.347,0.0684,244.5466,402.78,246.79,4.09,19,0.1693,219.239,-90.94,244.61,4.56,19,0.1009,-2.18
1,POINT,SLOW,LOW,1,9,3.54,3.44,6.46,831.85,100.0,0.1,0.505,9.73,760.0,172.67,38.77,9.38,2.792,2.936,0.2141,104.5228,530.9,194.72,9.57,19,0.0915,36.4634,644.56,197.47,27.42,19,-0.1226,2.75
1,AREA,SLOW,HIGH,2,1,3.15,3.19,6.36,1008.65,100.0,0.3,0.571,11.45,941.0,342.55,38.11,9.22,2.878,2.848,0.0226,-58.148,1126.51,216.0,,19,0.0185,-32.2231,1145.79,216.08,,19,-0.0041,0.08
1,AREA,STATIC,MEDIUM,2,2,5.05,5.49,5.05,667.15,100.0,0.05,0.611,9.19,652.5,104.7,24.74,5.98,3.617,3.352,0.1899,49.079,501.28,176.68,20.38,19,0.1899,49.079,501.28,176.68,20.38,19,0.0,0.0
1,AREA,SLOW,LOW,2,3,4.22,3.96,7.85,738.0,80.0,0.05,0.616,13.11,745.5,131.1,47.87,11.58,2.864,3.064,0.0115,19.6085,682.81,188.53,51.0,19,0.0721,27.7645,583.72,187.33,36.02,19,0.0606,-1.2
1,AREA,STATIC,LOW,2,4,4.9,4.03,4.9,561.05,85.0,0.0,0.754,14.43,533.0,95.51,56.7,13.72,2.193,2.665,0.0543,17.7284,498.54,162.61,56.41,19,0.0543,17.7284,498.54,162.61,56.41,19,0.0,0.0
1,AREA,FAST,MEDIUM,2,5,3.58,3.7,5.69,953.85,85.0,0.6,0.614,10.88,873.0,275.03,33.62,8.14,3.341,3.286,0.1146,126.4747,546.15,214.82,7.91,19,0.1838,71.933,578.38,213.27,13.9,19,0.0692,-1.55
1,AREA,SLOW,MEDIUM,2,6,4.19,4.48,7.96,786.95,100.0,0.05,0.516,9.35,754.5,209.92,29.97,7.25,3.368,3.173,0.0047,-20.1248,852.48,207.06,,19,0.0001,-1.6065,798.31,207.15,,19,-0.0046,0.09
1,AREA,FAST,HIGH,2,7,3.82,4.05,6.95,821.4,100.0,0.3,0.624,12.88,714.5,271.98,34.44,8.33,3.136,2.996,0.0871,114.6428,488.12,214.75,8.72,19,0.0739,47.8809,571.67,215.02,20.89,19,-0.0132,0.27
1,AREA,STATIC,HIGH,2,8,4.41,4.37,4.41,733.85,100.0,0.25,0.496,8.98,642.0,255.17,35.65,8.63,2.982,3.01,0.0002,-4.5203,747.97,214.59,,19,0.0002,-4.5203,747.97,214.59,,19,0.0,0.0
1,AREA,FAST,LOW,2,9,3.92,3.23,6.88,849.35,60.0,0.2,0.962,16.31,780.5,254.36,54.4,13.16,2.543,3.105,0.0181,38.2757,708.03,210.9,26.13,19,0.0758,39.3275,610.63,209.75,25.43,19,0.0577,-1.15
1,BUBBLE,STATIC,LOW,3,1,4.5,5.33,4.5,662.15,90.0,0.0,0.572,10.56,628.5,102.21,27.03,6.54,3.448,2.93,0.2152,55.3373,491.72,172.53,18.07,19,0.2152,55.3373,491.72,172.53,18.07,19,0.0,0.0
1,BUBBLE,SLOW,HIGH,3,2,3.75,3.92,6.81,904.15,90.0,0.1,0.524,9.38,813.0,318.35,31.79,7.69,3.35,3.204,0.0,2.452,904.67,222.73,407.83,19,0.031,40.2225,676.27,222.14,24.86,19,0.031,-0.59
1,BUBBLE,FAST,LOW,3,3,3.95,3.5,7.24,759.4,65.0,0.05,0.901,17.21,729.0,192.7,55.44,13.41,2.564,2.915,0.2119,150.0401,320.09,199.36,6.66,19,0.0339,27.0991,613.85,203.23,36.9,19,-0.178,3.87
1,BUBBLE,SLOW,LOW,3,4,4.95,4.32,9.27,602.05,70.0,0.0,0.733,14.97,597.5,84.4,53.74,13.0,2.54,2.908,0.0685,26.1248,516.65,165.76,38.28,19,0.0716,13.6947,517.9,165.7,73.02,19,0.0031,-0.06
1,BUBBLE,FAST,MEDIUM,3,5,3.87,3.3,7.51,782.95,70.0,0.1,0.877,15.74,767.5,188.62,52.85,12.79,2.446,2.905,0.2641,123.9631,407.06,194.43,8.07,19,0.1438,51.8106,477.83,197.31,19.3,19,-0.1203,2.88
1,BUBBLE,SLOW,MEDIUM,3,6,4.05,3.82,7.15,785.9,85.0,0.05,0.651,11.24,700.0,215.71,41.96,10.15,2.88,3.1,0.179,96.1133,494.02,204.16,10.4,19,0.1247,44.5883,549.11,205.37,22.43,19,-0.0543,1.21
1,BUBBLE,FAST,HIGH,3,7,3.63,2.89,7.06,975.8,70.0,0.3,0.79,14.95,832.5,382.57,61.48,14.88,2.593,3.285,0.0003,-9.7891,1023.63,229.33,,19,0.0004,8.2862,938.67,229.33,120.68,19,0.0001,0.0
1,BUBBLE,STATIC,MEDIUM,3,8,5.37,5.13,5.37,582.75,90.0,0.05,0.616,11.69,572.0,84.66,41.71,10.09,2.928,3.087,0.0052,9.6428,551.55,172.46,103.7,19,0.0052,9.6428,551.55,172.46,103.7,19,0.0,0.0
1,BUBBLE,STATIC,HIGH,3,9,4.93,4.55,4.93,657.7,85.0,0.05,0.629,9.96,634.5,87.44,38.58,9.34,2.961,3.195,0.0096,9.9597,623.44,173.42,100.4,19,0.0096,9.9597,623.44,173.42,100.4,19,0.0,0.0
10,POINT,STATIC,MEDIUM,1,1,4.25,4.36,4.25,682.45,100.0,0.25,0.459,8.47,638.5,219.39,33.91,8.21,2.829,2.792,0.1601,94.847,410.05,205.07,10.54,19,0.1601,94.847,410.05,205.07,10.54,19,0.0,0.0
10,POINT,SLOW,LOW,1,2,3.46,3.48,6.49,876.0,100.0,0.65,0.616,11.87,804.0,393.38,36.06,8.73,2.701,2.749,0.2179,227.2792,253.72,226.35,4.4,19,0.1839,107.4927,330.01,227.16,9.3,19,-0.034,0.81
10,POINT,SLOW,MEDIUM,1,3,3.23,3.04,6.08,1101.45,100.0,0.9,0.496,9.59,916.0,455.63,42.14,10.2,2.831,3.053,0.0323,116.7792,690.07,229.51,8.56,19,0.1027,121.6334,343.11,228.07,8.22,19,0.0704,-1.44
10,POINT,STATIC,LOW,1,4,4.43,4.52,4.43,732.3,100.0,0.3,0.634,11.84,674.0,197.89,34.16,8.27,3.194,3.109,0.0001,-2.5018,750.36,203.88,,19,0.0001,-2.5018,750.36,203.88,,19,0.0,0.0
10,POINT,FAST,LOW,1,5,3.82,3.8,7.04,783.3,100.0,0.5,0.676,13.43,699.0,318.54,41.73,10.1,2.779,2.851,0.193,154.951,356.47,218.1,6.45,19,0.2708,126.9274,128.94,216.17,7.88,19,0.0778,-1.93
10,POINT,FAST,MEDIUM,1,6,3.76,3.65,6.74,1001.85,100.0,1.55,0.625,12.24,804.5,552.03,39.89,9.65,3.047,3.163,0.2038,544.1242,-713.53,239.55,1.84,19,0.1026,153.2244,134.52,241.82,6.53,19,-0.1012,2.27
10,POINT,STATIC,HIGH,1,7,4.52,4.54,4.52,771.25,100.0,0.1,0.537,9.52,736.5,189.99,34.05,8.24,3.389,3.422,0.0931,85.6832,488.08,200.44,11.67,19,0.0931,85.6832,488.08,200.44,11.67,19,0.0,0.0
10,POINT,FAST,HIGH,1,8,2.95,3.06,5.84,1247.05,100.0,2.25,0.527,9.43,1066.5,517.65,32.63,7.9,3.096,3.026,0.0009,-16.0552,1269.32,240.45,,19,0.0129,-43.5693,1480.86,240.22,,19,0.012,-0.23
10,POINT,SLOW,HIGH,1,9,3.22,3.53,6.15,1044.05,100.0,1.55,0.595,9.78,852.0,531.43,28.72,6.95,3.023,2.841,0.1135,267.0446,269.3,239.83,3.74,19,0.1365,139.0692,272.42,239.33,7.19,19,0.023,-0.5
10,AREA,STATIC,MEDIUM,2,1,4.51,3.46,4.51,697.0,85.0,0.35,0.774,15.11,566.0,296.95,70.12,16.97,2.201,2.925,0.2872,293.0517,-153.21,213.7,3.41,19,0.2872,293.0517,-153.21,213.7,3.41,19,0.0,0.0
10,AREA,SLOW,HIGH,2,2,4.28,4.19,8.47,788.75,85.0,0.75,0.875,15.04,739.5,269.6,37.54,9.08,2.967,3.09,0.154,128.4513,364.91,209.29,7.79,19,0.2216,124.4755,5.45,207.7,8.03,19,0.0676,-1.59
10,AREA,SLOW,LOW,2,3,4.93,4.17,8.43,683.75,65.0,0.45,1.01,18.85,528.5,335.01,55.95,13.54,2.529,2.982,0.1236,166.4777,194.4,222.26,6.01,19,0.1688,83.7382,258.72,221.26,11.94,19,0.0452,-1.0
10,AREA,FAST,LOW,2,4,5.12,3.57,9.28,762.85,50.0,0.7,1.327,23.92,569.5,504.95,81.43,19.7,2.268,3.335,0.1531,277.3643,-149.82,237.14,3.61,19,0.1287,124.7841,17.77,237.68,8.01,19,-0.0244,0.54
10,AREA,STATIC,LOW,2,5,5.25,3.72,5.25,582.35,55.0,0.15,1.036,20.09,540.0,146.36,83.84,20.29,2.039,2.902,0.0204,25.7362,496.22,190.6,38.86,19,0.0204,25.7362,496.22,190.6,38.86,19,0.0,0.0
10,AREA,FAST,HIGH,2,6,3.27,2.97,6.12,1146.8,95.0,1.6,0.73,12.45,1065.0,630.68,44.34,10.73,2.64,2.99,0.0001,-6.4492,1175.97,248.88,,19,0.008,47.4054,888.62,248.73,21.09,19,0.0079,-0.15
10,AREA,SLOW,MEDIUM,2,7,4.26,3.24,7.36,846.15,70.0,0.8,0.986,16.33,611.5,450.77,66.54,16.1,2.49,3.308,0.4429,327.7456,-221.42,224.57,3.05,19,0.3292,156.1827,-20.47,228.1,6.4,19,-0.1137,3.53
10,AREA,STATIC,HIGH,2,8,4.45,4.98,4.45,795.6,95.0,0.45,0.538,9.99,634.0,379.32,29.23,7.07,3.55,3.25,0.3461,293.8814,-145.1,221.02,3.4,19,0.3461,293.8814,-145.1,221.02,3.4,19,0.0,0.0
10,AREA,FAST,MEDIUM,2,9,3.65,3.18,6.44,918.9,75.0,1.15,0.928,16.41,847.0,403.96,51.69,12.51,2.526,2.951,0.013,60.4572,758.26,231.05,16.54,19,0.2397,142.3014,162.23,226.09,7.03,19,0.2267,-4.96
10,BUBBLE,FAST,MEDIUM,3,1,5.41,3.93,9.6,664.2,40.0,0.25,1.366,21.8,589.5,251.0,70.02,16.94,2.403,3.34,0.0111,-41.7418,808.07,213.64,,19,0.0055,14.377,582.76,213.74,69.56,19,-0.0056,0.1
10,BUBBLE,STATIC,LOW,3,2,6.36,3.99,6.36,473.25,40.0,0.0,1.53,32.35,471.5,23.21,110.23,26.67,1.882,2.998,0.0573,-12.0885,509.45,122.37,,19,0.0573,-12.0885,509.45,122.37,,19,0.0,0.0
10,BUBBLE,STATIC,HIGH,3,3,4.46,3.87,4.46,710.4,70.0,0.6,0.898,14.16,675.0,236.1,44.98,10.88,2.613,3.063,0.1527,90.9193,444.71,207.35,11.0,19,0.1527,90.9193,444.71,207.35,11.0,19,0.0,0.0
10,BUBBLE,STATIC,MEDIUM,3,4,5.4,4.85,5.4,542.5,65.0,0.05,0.975,20.33,505.5,116.83,53.21,12.87,2.523,2.819,0.0811,-51.5068,687.4,183.3,,19,0.0811,-51.5068,687.4,183.3,,19,0.0,0.0
10,BUBBLE,SLOW,HIGH,3,5,4.33,3.65,8.21,795.95,55.0,0.65,0.998,15.9,810.5,229.09,47.95,11.6,2.742,3.264,0.0003,6.631,787.41,209.2,150.81,19,0.0535,52.2018,482.87,208.17,19.16,19,0.0532,-1.03
10,BUBBLE,SLOW,MEDIUM,3,6,5.28,3.31,9.31,637.9,50.0,0.25,1.377,23.75,561.5,240.83,100.5,24.32,1.881,3.03,0.012,-30.5441,699.07,204.29,,19,0.0119,14.4212,528.68,204.29,69.34,19,-0.0001,0.0
10,BUBBLE,FAST,LOW,3,7,5.83,3.18,10.3,503.35,20.0,0.0,2.153,39.06,485.5,79.16,128.53,31.1,1.586,2.922,0.1764,40.9761,382.97,166.4,24.4,19,0.1218,16.2804,418.76,167.62,61.42,19,-0.0546,1.22
10,BUBBLE,SLOW,LOW,3,8,6.06,3.23,11.0,532.85,15.0,0.1,1.968,36.53,477.0,166.33,133.61,32.33,1.663,3.106,0.1468,80.1779,285.76,195.26,12.47,19,0.0009,3.3403,516.22,198.26,299.37,19,-0.1459,3.0
10,BUBBLE,FAST,HIGH,3,9,4.86,4.01,8.0,730.9,40.0,0.75,1.13,21.09,614.0,282.26,58.45,14.14,2.551,3.104,0.004,-23.7149,794.66,217.88,,19,0.0008,-4.4411,743.91,217.94,,19,-0.0032,0.06
3,BUBBLE,FAST,LOW,1,1,1.68,1.37,3.23,2387.9,55.0,0.1,1.025,17.24,2291.0,1305.81,58.47,14.15,2.714,3.345,0.1078,518.7861,703.23,273.88,1.93,19,0.0817,330.5084,349.46,274.43,3.03,19,-0.0261,0.55
3,BUBBLE,SLOW,MEDIUM,1,2,1.34,1.05,2.76,2720.9,70.0,0.15,1.01,18.31,2103.0,1887.19,64.16,15.52,2.168,2.858,0.0451,662.396,925.46,288.71,1.51,19,0.0694,519.9486,-205.02,288.22,1.92,19,0.0243,-0.49
3,BUBBLE,STATIC,MEDIUM,1,3,2.19,2.88,2.19,1257.0,100.0,0.0,0.321,5.96,1258.0,303.3,19.28,4.66,3.488,2.686,0.1555,119.5745,931.32,217.86,8.36,19,0.1555,119.5745,931.32,217.86,8.36,19,0.0,0.0
3,BUBBLE,FAST,MEDIUM,1,4,1.96,1.61,3.67,2189.4,65.0,0.45,1.07,18.14,1440.0,1898.42,56.07,13.57,2.514,3.101,0.009,-180.535,2789.64,290.51,,19,0.0027,61.5689,1866.7,290.63,16.24,19,-0.0063,0.12
3,BUBBLE,SLOW,HIGH,1,5,1.49,1.39,3.08,2124.2,90.0,0.15,0.777,13.44,1729.0,1249.54,42.51,10.29,2.421,2.64,0.1321,467.2792,869.77,272.16,2.14,19,0.0854,213.5343,951.28,273.16,4.68,19,-0.0467,1.0
3,BUBBLE,FAST,HIGH,1,6,1.44,1.23,2.8,2948.3,70.0,0.65,0.901,14.77,2207.0,2014.25,51.1,12.36,2.827,3.38,0.033,602.8258,983.61,291.96,1.66,19,0.0182,-343.8391,5230.76,292.25,,19,-0.0148,0.29
3,BUBBLE,STATIC,LOW,1,7,3.12,3.4,3.12,1107.0,85.0,0.0,0.559,8.78,1054.0,238.9,26.55,6.42,3.605,3.305,0.1938,224.7033,348.95,206.34,4.45,19,0.1938,224.7033,348.95,206.34,4.45,19,0.0,0.0
3,BUBBLE,STATIC,HIGH,1,8,2.82,2.77,2.82,1007.5,80.0,0.0,0.609,13.01,1013.0,177.17,44.02,10.65,2.753,2.811,0.3339,147.6244,591.33,192.99,6.77,19,0.3339,147.6244,591.33,192.99,6.77,19,0.0,0.0
3,BUBBLE,SLOW,LOW,1,9,2.38,2.04,4.71,1333.8,50.0,0.0,1.116,19.05,1236.0,430.92,49.95,12.09,2.498,2.936,0.0319,79.4644,1060.5,230.29,12.58,19,0.0344,65.5252,916.59,230.24,15.26,19,0.0025,-0.05
3,POINT,SLOW,MEDIUM,2,1,1.8,1.91,3.42,2540.8,100.0,0.75,0.536,9.44,1562.0,2659.83,33.0,7.98,3.099,3.015,0.1794,1516.7271,-2073.51,299.82,0.66,19,0.1059,588.7514,-891.11,301.45,1.7,19,-0.0735,1.63
3,POINT,STATIC,LOW,2,2,3.08,3.27,3.08,962.1,100.0,0.0,0.595,13.23,929.0,143.44,36.26,8.77,3.06,2.908,0.0654,45.5021,818.95,189.12,21.98,19,0.0654,45.5021,818.95,189.12,21.98,19,0.0,0.0
3,POINT,FAST,MEDIUM,2,3,1.89,1.87,3.55,2628.2,100.0,0.75,0.689,13.05,1777.0,3270.58,42.28,10.23,3.042,3.202,0.1203,1419.5875,-1829.46,308.82,0.7,19,0.1453,1020.5834,-3461.09,308.27,0.98,19,0.025,-0.55
3,POINT,STATIC,MEDIUM,2,4,3.09,3.24,3.09,1002.6,100.0,0.0,0.465,8.88,975.0,217.42,32.2,7.79,3.158,3.022,0.06,61.7278,815.58,207.33,16.2,19,0.06,61.7278,815.58,207.33,16.2,19,0.0,0.0
3,POINT,SLOW,HIGH,2,5,1.77,1.84,3.61,2160.0,100.0,0.4,0.474,7.5,1754.0,1146.63,30.44,7.36,3.12,3.054,0.0178,203.5342,1370.31,260.68,4.91,19,0.0172,174.487,911.26,260.69,5.73,19,-0.0006,0.01
3,POINT,STATIC,HIGH,2,6,3.49,3.72,3.49,1000.2,100.0,0.0,0.439,7.96,984.0,192.52,29.01,7.02,3.596,3.41,0.2134,146.0169,499.41,199.24,6.85,19,0.2134,146.0169,499.41,199.24,6.85,19,0.0,0.0
3,POINT,FAST,HIGH,2,7,1.27,1.42,2.7,3541.0,100.0,0.75,0.514,8.94,2051.0,4053.98,30.31,7.33,3.051,2.885,0.1672,1991.1794,-2075.0,315.83,0.5,19,0.1607,1535.9233,-5417.6,315.97,0.65,19,-0.0065,0.14
3,POINT,SLOW,LOW,2,8,2.22,2.25,4.36,1911.4,100.0,0.3,0.641,12.33,1288.0,2188.46,38.57,9.33,2.913,2.973,0.0004,58.8679,1752.45,296.23,16.99,19,0.0143,246.3589,495.33,295.96,4.06,19,0.0139,-0.27
3,POINT,FAST,LOW,2,9,1.88,1.92,3.42,2604.1,100.0,0.65,0.584,10.26,1736.0,2655.58,35.43,8.57,3.257,3.309,0.2347,1707.9281,-3020.05,298.48,0.59,19,0.1548,708.523,-1618.56,300.37,1.41,19,-0.0799,1.89
3,AREA,STATIC,LOW,3,1,2.9,3.12,2.9,905.8,80.0,0.0,0.749,13.83,860.0,146.67,33.33,8.06,2.726,2.55,0.0412,27.4377,816.03,184.14,36.45,19,0.0412,27.4377,816.03,184.14,36.45,19,0.0,0.0
3,AREA,SLOW,MEDIUM,3,2,1.64,1.6,3.46,2647.5,90.0,0.35,0.734,12.46,1421.0,2139.63,40.41,9.78,2.648,2.814,0.1609,828.4768,5.22,281.67,1.21,19,0.1591,619.6477,-1244.64,281.71,1.61,19,-0.0018,0.04
3,AREA,STATIC,MEDIUM,3,3,2.47,3.5,2.47,1298.0,100.0,0.0,0.285,4.71,1304.0,221.05,12.34,2.98,4.406,3.162,0.3392,135.7808,851.65,198.86,7.36,19,0.3392,135.7808,851.65,198.86,7.36,19,0.0,0.0
3,AREA,STATIC,HIGH,3,4,2.14,3.01,2.14,1261.5,100.0,0.0,0.252,4.45,1296.0,162.96,15.17,3.67,3.786,2.713,0.4679,159.9922,823.44,185.33,6.25,19,0.4679,159.9922,823.44,185.33,6.25,19,0.0,0.0
3,AREA,FAST,MEDIUM,3,5,1.58,1.55,3.02,2547.9,100.0,0.35,0.679,12.16,1818.0,1903.02,41.01,9.92,2.828,3.007,0.0504,565.9537,889.12,289.77,1.77,19,0.0978,460.5984,-104.68,288.79,2.17,19,0.0474,-0.98
3,AREA,FAST,HIGH,3,6,1.38,1.34,2.73,3365.4,100.0,0.25,0.618,10.66,2369.0,2535.49,39.67,9.6,3.145,3.365,0.0429,617.6011,1410.1,300.1,1.62,19,0.0386,525.482,64.48,300.18,1.9,19,-0.0043,0.08
3,AREA,FAST,LOW,3,7,1.49,1.65,2.85,3078.9,80.0,0.0,0.767,11.35,2266.0,1827.77,26.3,6.36,3.639,3.303,0.0332,-394.3187,4146.71,281.18,,19,0.0025,-70.2665,3290.81,281.77,,19,-0.0307,0.59
3,AREA,SLOW,LOW,3,8,1.45,1.57,2.86,2384.8,95.0,0.05,0.514,10.04,1945.0,1519.56,34.57,8.37,3.185,3.026,0.3228,951.1559,-526.39,274.8,1.05,19,0.2253,479.1166,-453.82,277.36,2.09,19,-0.0975,2.56
3,AREA,SLOW,HIGH,3,9,1.31,1.36,2.63,2959.9,100.0,0.3,0.554,11.14,2680.0,1675.8,37.33,9.03,3.103,3.011,0.3142,1467.0447,-1620.36,274.93,0.68,19,0.2386,731.5093,-1605.56,276.91,1.37,19,-0.0756,1.98
